Zeitstempel,Covid restrictions,Flu season
29.01.20,0,1
30.01.20,0,1
31.01.20,0,1
01.02.20,0,1
02.02.20,0,1
03.02.20,0,1
04.02.20,0,1
05.02.20,0,1
06.02.20,0,1
07.02.20,0,1
08.02.20,0,1
09.02.20,0,1
10.02.20,0,1
11.02.20,0,1
12.02.20,0,1
13.02.20,0,1
14.02.20,0,1
15.02.20,0,1
16.02.20,0,1
17.02.20,0,1
18.02.20,0,1
19.02.20,0,1
20.02.20,0,1
21.02.20,0,1
22.02.20,0,1
23.02.20,0,1
24.02.20,0,1
25.02.20,0,1
26.02.20,0,1
27.02.20,0,1
28.02.20,0,1
29.02.20,0,1
01.03.20,1,1
02.03.20,1,1
03.03.20,1,1
04.03.20,1,1
05.03.20,1,1
06.03.20,1,1
07.03.20,1,1
08.03.20,1,1
09.03.20,1,1
10.03.20,1,1
11.03.20,1,1
12.03.20,1,1
13.03.20,1,1
14.03.20,1,1
15.03.20,1,1
16.03.20,1,1
17.03.20,1,1
18.03.20,1,1
19.03.20,1,1
20.03.20,1,1
21.03.20,1,1
22.03.20,1,1
23.03.20,1,1
24.03.20,1,1
25.03.20,1,1
26.03.20,1,1
27.03.20,1,1
28.03.20,1,1
29.03.20,1,1
30.03.20,1,1
31.03.20,1,1
01.04.20,1,1
02.04.20,1,1
03.04.20,1,1
04.04.20,1,1
05.04.20,1,1
06.04.20,1,1
07.04.20,1,1
08.04.20,1,1
09.04.20,1,1
10.04.20,1,1
11.04.20,1,1
12.04.20,1,1
13.04.20,1,1
14.04.20,1,1
15.04.20,1,1
16.04.20,1,1
17.04.20,1,1
18.04.20,1,1
19.04.20,1,1
20.04.20,1,1
21.04.20,1,1
22.04.20,1,1
23.04.20,1,1
24.04.20,1,1
25.04.20,1,1
26.04.20,1,1
27.04.20,1,1
28.04.20,1,1
29.04.20,1,1
30.04.20,1,1
01.05.20,1,1
02.05.20,1,1
03.05.20,1,1
04.05.20,1,1
05.05.20,1,1
06.05.20,1,1
07.05.20,1,1
08.05.20,1,1
09.05.20,1,1
10.05.20,1,1
11.05.20,1,1
12.05.20,1,1
13.05.20,1,1
14.05.20,1,1
15.05.20,1,1
16.05.20,1,1
17.05.20,1,1
18.05.20,1,1
19.05.20,1,1
20.05.20,1,1
21.05.20,1,1
22.05.20,1,1
23.05.20,1,1
24.05.20,1,1
25.05.20,1,1
26.05.20,1,1
27.05.20,1,1
28.05.20,1,1
29.05.20,1,1
30.05.20,1,1
31.05.20,1,1
01.06.20,1,0
02.06.20,1,0
03.06.20,1,0
04.06.20,1,0
05.06.20,1,0
06.06.20,1,0
07.06.20,1,0
08.06.20,1,0
09.06.20,1,0
10.06.20,1,0
11.06.20,1,0
12.06.20,1,0
13.06.20,1,0
14.06.20,1,0
15.06.20,1,0
16.06.20,1,0
17.06.20,1,0
18.06.20,1,0
19.06.20,1,0
20.06.20,1,0
21.06.20,1,0
22.06.20,1,0
23.06.20,1,0
24.06.20,1,0
25.06.20,1,0
26.06.20,1,0
27.06.20,1,0
28.06.20,1,0
29.06.20,1,0
30.06.20,1,0
01.07.20,1,0
02.07.20,1,0
03.07.20,1,0
04.07.20,1,0
05.07.20,1,0
06.07.20,1,0
07.07.20,1,0
08.07.20,1,0
09.07.20,1,0
10.07.20,1,0
11.07.20,1,0
12.07.20,1,0
13.07.20,1,0
14.07.20,1,0
15.07.20,1,0
16.07.20,1,0
17.07.20,1,0
18.07.20,1,0
19.07.20,1,0
20.07.20,1,0
21.07.20,1,0
22.07.20,1,0
23.07.20,1,0
24.07.20,1,0
25.07.20,1,0
26.07.20,1,0
27.07.20,1,0
28.07.20,1,0
29.07.20,1,0
30.07.20,1,0
31.07.20,1,0
01.08.20,1,0
02.08.20,1,0
03.08.20,1,0
04.08.20,1,0
05.08.20,1,0
06.08.20,1,0
07.08.20,1,0
08.08.20,1,0
09.08.20,1,0
10.08.20,1,0
11.08.20,1,0
12.08.20,1,0
13.08.20,1,0
14.08.20,1,0
15.08.20,1,0
16.08.20,1,0
17.08.20,1,0
18.08.20,1,0
19.08.20,1,0
20.08.20,1,0
21.08.20,1,0
22.08.20,1,0
23.08.20,1,0
24.08.20,1,0
25.08.20,1,0
26.08.20,1,0
27.08.20,1,0
28.08.20,1,0
29.08.20,1,0
30.08.20,1,0
31.08.20,1,0
01.09.20,1,0
02.09.20,1,0
03.09.20,1,0
04.09.20,1,0
05.09.20,1,0
06.09.20,1,0
07.09.20,1,0
08.09.20,1,0
09.09.20,1,0
10.09.20,1,0
11.09.20,1,0
12.09.20,1,0
13.09.20,1,0
14.09.20,1,0
15.09.20,1,0
16.09.20,1,0
17.09.20,1,0
18.09.20,1,0
19.09.20,1,0
20.09.20,1,0
21.09.20,1,0
22.09.20,1,0
23.09.20,1,0
24.09.20,1,0
25.09.20,1,0
26.09.20,1,0
27.09.20,1,0
28.09.20,1,0
29.09.20,1,0
30.09.20,1,0
01.10.20,2,1
02.10.20,2,1
03.10.20,2,1
04.10.20,2,1
05.10.20,2,1
06.10.20,2,1
07.10.20,2,1
08.10.20,2,1
09.10.20,2,1
10.10.20,2,1
11.10.20,2,1
12.10.20,2,1
13.10.20,2,1
14.10.20,2,1
15.10.20,2,1
16.10.20,2,1
17.10.20,2,1
18.10.20,2,1
19.10.20,2,1
20.10.20,2,1
21.10.20,2,1
22.10.20,2,1
23.10.20,2,1
24.10.20,2,1
25.10.20,2,1
26.10.20,2,1
27.10.20,2,1
28.10.20,2,1
29.10.20,2,1
30.10.20,2,1
31.10.20,2,1
01.11.20,2,1
02.11.20,2,1
03.11.20,2,1
04.11.20,2,1
05.11.20,2,1
06.11.20,2,1
07.11.20,2,1
08.11.20,2,1
09.11.20,2,1
10.11.20,2,1
11.11.20,2,1
12.11.20,2,1
13.11.20,2,1
14.11.20,2,1
15.11.20,2,1
16.11.20,2,1
17.11.20,2,1
18.11.20,2,1
19.11.20,2,1
20.11.20,2,1
21.11.20,2,1
22.11.20,2,1
23.11.20,2,1
24.11.20,2,1
25.11.20,2,1
26.11.20,2,1
27.11.20,2,1
28.11.20,2,1
29.11.20,2,1
30.11.20,2,1
01.12.20,2,1
02.12.20,2,1
03.12.20,2,1
04.12.20,2,1
05.12.20,2,1
06.12.20,2,1
07.12.20,2,1
08.12.20,2,1
09.12.20,2,1
10.12.20,2,1
11.12.20,2,1
12.12.20,2,1
13.12.20,2,1
14.12.20,2,1
15.12.20,2,1
16.12.20,2,1
17.12.20,2,1
18.12.20,2,1
19.12.20,2,1
20.12.20,2,1
21.12.20,2,1
22.12.20,2,1
23.12.20,2,1
24.12.20,2,1
25.12.20,2,1
26.12.20,2,1
27.12.20,2,1
28.12.20,2,1
29.12.20,2,1
30.12.20,2,1
31.12.20,2,1
01.01.21,3,1
02.01.21,3,1
03.01.21,3,1
04.01.21,3,1
05.01.21,3,1
06.01.21,3,1
07.01.21,3,1
08.01.21,3,1
09.01.21,3,1
10.01.21,3,1
11.01.21,3,1
12.01.21,3,1
13.01.21,3,1
14.01.21,3,1
15.01.21,3,1
16.01.21,3,1
17.01.21,3,1
18.01.21,3,1
19.01.21,3,1
20.01.21,3,1
21.01.21,3,1
22.01.21,3,1
23.01.21,3,1
24.01.21,3,1
25.01.21,3,1
26.01.21,3,1
27.01.21,3,1
28.01.21,3,1
29.01.21,3,1
30.01.21,3,1
31.01.21,3,1
01.02.21,3,1
02.02.21,3,1
03.02.21,3,1
04.02.21,3,1
05.02.21,3,1
06.02.21,3,1
07.02.21,3,1
08.02.21,3,1
09.02.21,3,1
10.02.21,3,1
11.02.21,3,1
12.02.21,3,1
13.02.21,3,1
14.02.21,3,1
15.02.21,3,1
16.02.21,3,1
17.02.21,3,1
18.02.21,3,1
19.02.21,3,1
20.02.21,3,1
21.02.21,3,1
22.02.21,3,1
23.02.21,3,1
24.02.21,3,1
25.02.21,3,1
26.02.21,3,1
27.02.21,3,1
28.02.21,3,1
01.03.21,3,1
02.03.21,3,1
03.03.21,3,1
04.03.21,3,1
05.03.21,3,1
06.03.21,3,1
07.03.21,3,1
08.03.21,3,1
09.03.21,3,1
10.03.21,3,1
11.03.21,3,1
12.03.21,3,1
13.03.21,3,1
14.03.21,3,1
15.03.21,3,1
16.03.21,3,1
17.03.21,3,1
18.03.21,3,1
19.03.21,3,1
20.03.21,3,1
21.03.21,3,1
22.03.21,3,1
23.03.21,3,1
24.03.21,3,1
25.03.21,3,1
26.03.21,3,1
27.03.21,3,1
28.03.21,3,1
29.03.21,3,1
30.03.21,3,1
31.03.21,3,1
01.04.21,2,1
02.04.21,2,1
03.04.21,2,1
04.04.21,2,1
05.04.21,2,1
06.04.21,2,1
07.04.21,2,1
08.04.21,2,1
09.04.21,2,1
10.04.21,2,1
11.04.21,2,1
12.04.21,2,1
13.04.21,2,1
14.04.21,2,1
15.04.21,2,1
16.04.21,2,1
17.04.21,2,1
18.04.21,2,1
19.04.21,2,1
20.04.21,2,1
21.04.21,2,1
22.04.21,2,1
23.04.21,2,1
24.04.21,2,1
25.04.21,2,1
26.04.21,2,1
27.04.21,2,1
28.04.21,2,1
29.04.21,2,1
30.04.21,2,1
01.05.21,2,1
02.05.21,2,1
03.05.21,2,1
04.05.21,2,1
05.05.21,2,1
06.05.21,2,1
07.05.21,2,1
08.05.21,2,1
09.05.21,2,1
10.05.21,2,1
11.05.21,2,1
12.05.21,2,1
13.05.21,2,1
14.05.21,2,1
15.05.21,2,1
16.05.21,2,1
17.05.21,2,1
18.05.21,2,1
19.05.21,2,1
20.05.21,2,1
21.05.21,2,1
22.05.21,2,1
23.05.21,2,1
24.05.21,2,1
25.05.21,2,1
26.05.21,2,1
27.05.21,2,1
28.05.21,2,1
29.05.21,2,1
30.05.21,2,1
31.05.21,2,1
01.06.21,2,0
02.06.21,2,0
03.06.21,2,0
04.06.21,2,0
05.06.21,2,0
06.06.21,2,0
07.06.21,2,0
08.06.21,2,0
09.06.21,2,0
10.06.21,2,0
11.06.21,2,0
12.06.21,2,0
13.06.21,2,0
14.06.21,2,0
15.06.21,2,0
16.06.21,2,0
17.06.21,2,0
18.06.21,2,0
19.06.21,2,0
20.06.21,2,0
21.06.21,2,0
22.06.21,2,0
23.06.21,2,0
24.06.21,2,0
25.06.21,2,0
26.06.21,2,0
27.06.21,2,0
28.06.21,2,0
29.06.21,2,0
30.06.21,2,0
01.07.21,1,0
02.07.21,1,0
03.07.21,1,0
04.07.21,1,0
05.07.21,1,0
06.07.21,1,0
07.07.21,1,0
08.07.21,1,0
09.07.21,1,0
10.07.21,1,0
11.07.21,1,0
12.07.21,1,0
13.07.21,1,0
14.07.21,1,0
15.07.21,1,0
16.07.21,1,0
17.07.21,1,0
18.07.21,1,0
19.07.21,1,0
20.07.21,1,0
21.07.21,1,0
22.07.21,1,0
23.07.21,1,0
24.07.21,1,0
25.07.21,1,0
26.07.21,1,0
27.07.21,1,0
28.07.21,1,0
29.07.21,1,0
30.07.21,1,0
31.07.21,1,0
01.08.21,1,0
02.08.21,1,0
03.08.21,1,0
04.08.21,1,0
05.08.21,1,0
06.08.21,1,0
07.08.21,1,0
08.08.21,1,0
09.08.21,1,0
10.08.21,1,0
11.08.21,1,0
12.08.21,1,0
13.08.21,1,0
14.08.21,1,0
15.08.21,1,0
16.08.21,1,0
17.08.21,1,0
18.08.21,1,0
19.08.21,1,0
20.08.21,1,0
21.08.21,1,0
22.08.21,1,0
23.08.21,1,0
24.08.21,1,0
25.08.21,1,0
26.08.21,1,0
27.08.21,1,0
28.08.21,1,0
29.08.21,1,0
30.08.21,1,0
31.08.21,1,0
01.09.21,1,0
02.09.21,1,0
03.09.21,1,0
04.09.21,1,0
05.09.21,1,0
06.09.21,1,0
07.09.21,1,0
08.09.21,1,0
09.09.21,1,0
10.09.21,1,0
11.09.21,1,0
12.09.21,1,0
13.09.21,1,0
14.09.21,1,0
15.09.21,1,0
16.09.21,1,0
17.09.21,1,0
18.09.21,1,0
19.09.21,1,0
20.09.21,1,0
21.09.21,1,0
22.09.21,1,0
23.09.21,1,0
24.09.21,1,0
25.09.21,1,0
26.09.21,1,0
27.09.21,1,0
28.09.21,1,0
29.09.21,1,0
30.09.21,1,0
01.10.21,1,1
02.10.21,1,1
03.10.21,1,1
04.10.21,1,1
05.10.21,1,1
06.10.21,1,1
07.10.21,1,1
08.10.21,1,1
09.10.21,1,1
10.10.21,1,1
11.10.21,1,1
12.10.21,1,1
13.10.21,1,1
14.10.21,1,1
15.10.21,1,1
16.10.21,1,1
17.10.21,1,1
18.10.21,1,1
19.10.21,1,1
20.10.21,1,1
21.10.21,1,1
22.10.21,1,1
23.10.21,1,1
24.10.21,1,1
25.10.21,1,1
26.10.21,1,1
27.10.21,1,1
28.10.21,1,1
29.10.21,1,1
30.10.21,1,1
31.10.21,1,1
01.11.21,1,1
02.11.21,1,1
03.11.21,1,1
04.11.21,1,1
05.11.21,1,1
06.11.21,1,1
07.11.21,1,1
08.11.21,1,1
09.11.21,1,1
10.11.21,1,1
11.11.21,1,1
12.11.21,1,1
13.11.21,1,1
14.11.21,1,1
15.11.21,1,1
16.11.21,1,1
17.11.21,1,1
18.11.21,1,1
19.11.21,1,1
20.11.21,1,1
21.11.21,1,1
22.11.21,1,1
23.11.21,1,1
24.11.21,1,1
25.11.21,1,1
26.11.21,1,1
27.11.21,1,1
28.11.21,1,1
29.11.21,1,1
30.11.21,1,1
01.12.21,1,1
02.12.21,1,1
03.12.21,1,1
04.12.21,1,1
05.12.21,1,1
06.12.21,1,1
07.12.21,1,1
08.12.21,1,1
09.12.21,1,1
10.12.21,1,1
11.12.21,1,1
12.12.21,1,1
13.12.21,1,1
14.12.21,1,1
15.12.21,1,1
16.12.21,1,1
17.12.21,1,1
18.12.21,1,1
19.12.21,1,1
20.12.21,1,1
21.12.21,1,1
22.12.21,1,1
23.12.21,1,1
24.12.21,1,1
25.12.21,1,1
26.12.21,1,1
27.12.21,1,1
28.12.21,1,1
29.12.21,1,1
30.12.21,1,1
31.12.21,1,1
01.01.22,1,1
02.01.22,1,1
03.01.22,1,1
04.01.22,1,1
05.01.22,1,1
06.01.22,1,1
07.01.22,1,1
08.01.22,1,1
09.01.22,1,1
10.01.22,1,1
11.01.22,1,1
12.01.22,1,1
13.01.22,1,1
14.01.22,1,1
15.01.22,1,1
16.01.22,1,1
17.01.22,1,1
18.01.22,1,1
19.01.22,1,1
20.01.22,1,1
21.01.22,1,1
22.01.22,1,1
23.01.22,1,1
24.01.22,1,1
25.01.22,1,1
26.01.22,1,1
27.01.22,1,1
28.01.22,1,1
29.01.22,1,1
30.01.22,1,1
31.01.22,1,1
01.02.22,1,1
02.02.22,1,1
03.02.22,1,1
04.02.22,1,1
05.02.22,1,1
06.02.22,1,1
07.02.22,1,1
08.02.22,1,1
09.02.22,1,1
10.02.22,1,1
11.02.22,1,1
12.02.22,1,1
13.02.22,1,1
14.02.22,1,1
15.02.22,1,1
16.02.22,1,1
17.02.22,1,1
18.02.22,0,1
19.02.22,0,1
20.02.22,0,1
21.02.22,0,1
22.02.22,0,1
23.02.22,0,1
24.02.22,0,1
25.02.22,0,1
26.02.22,0,1
27.02.22,0,1
28.02.22,0,1